# dll-pattern	class	sentence for the owner
#
# Signatures read from the executable ITSELF, before running it. Each line ties
# a signal to a limit already declared in the README. The sentence is always
# about the PART of the program, never about the whole thing: a point-of-sale
# system can open and work perfectly, with only the pinpad printing failing.
#
# The pattern is matched with shell "case", so it accepts * and ?. A DLL that
# matches here does NOT stop Tandem from trying - trying is cheap and the
# verdict can be wrong. It feeds the explanation of why it did not work, in
# place of "the program exited with an error (code N)".
#
# Adding a new case takes one line. No code changes.
#
# The class values are on-disk format, compared by the shell: do not translate
# them.

hasp*.dll	dongle	a proteção por chave física (HASP) precisa falar direto com a porta USB, e isso o Wine não faz
haspms*.dll	dongle	a proteção por chave física (HASP) precisa falar direto com a porta USB, e isso o Wine não faz
aksusb*.dll	dongle	a proteção por chave física (Aladdin) precisa falar direto com a porta USB, e isso o Wine não faz
sentinel*.dll	dongle	a proteção por chave física (Sentinel) precisa falar direto com a porta USB, e isso o Wine não faz
hardlock*.dll	dongle	a proteção por chave física (Hardlock) precisa falar direto com a porta USB, e isso o Wine não faz
wibucm*.dll	dongle	a proteção por chave física (CodeMeter) precisa falar direto com a porta USB, e isso o Wine não faz
codemeter*.dll	dongle	a proteção por chave física (CodeMeter) precisa falar direto com a porta USB, e isso o Wine não faz
rockey*.dll	dongle	a proteção por chave física (Rockey) precisa falar direto com a porta USB, e isso o Wine não faz
winusb.dll	usb	este programa conversa direto com um aparelho pela porta USB, e o Wine não repassa USB
libusb*.dll	usb	este programa conversa direto com um aparelho pela porta USB, e o Wine não repassa USB
hid.dll	usb-talvez	este programa fala com aparelho USB; teclado e leitor de código de barras costumam funcionar, outros aparelhos não
ntoskrnl.exe	driver	este programa carrega um driver de sistema, e o Wine roda fora do núcleo do Linux
wdfldr.dll	driver	este programa carrega um driver de sistema, e o Wine roda fora do núcleo do Linux
winio*.dll	driver	este programa acessa o hardware diretamente, o que só um driver de sistema pode fazer
inpout*.dll	driver	este programa acessa a porta paralela diretamente, o que só um driver de sistema pode fazer
